ДТП с водителями в состоянии опьянения, сентябрь 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1248.0;5,5;390.0;6,8;1545.0;5,5;20,2
Центральный федеральный округ;267.0;10,8;86.0;19,4;317.0;12,8;21,3
Белгородская область;12.0;71,4;1.0;-50,0;11.0;57,1;8,3
Брянская область;5.0;-28,6;5.0;стаб.;2.0;-50,0;71,4
Владимирская область;18.0;20,0;3.0;стаб.;25.0;8,7;10,7
Воронежская область;30.0;42,9;16.0;166,7;46.0;119,0;25,8
Ивановская область;16.0;23,1;8.0;14,3;16.0;6,7;33,3
Калужская область;9.0;-10,0;5.0;66,7;11.0;37,5;31,3
Костромская область;11.0;266,7;4.0;100,0;16.0;433,3;20,0
Курская область;17.0;183,3;6.0;200,0;18.0;200,0;25,0
Липецкая область;11.0;-15,4;2.0;-50,0;15.0;25,0;11,8
гор. Москва;20.0;-25,9;6.0;стаб.;26.0;-23,5;18,8
Московская область;30.0;-9,1;8.0;-33,3;29.0;-12,1;21,6
Орловская область;6.0;стаб.;0.0;-100,0;7.0;16,7;стаб.
Рязанская область;16.0;-11,1;7.0;133,3;15.0;-46,4;31,8
Смоленская область;7.0;-12,5;1.0;стаб.;11.0;10,0;8,3
Тамбовская область;11.0;37,5;4.0;100,0;9.0;-30,8;30,8
Тверская область;17.0;стаб.;4.0;-20,0;22.0;-18,5;15,4
Тульская область;14.0;-6,7;3.0;стаб.;18.0;12,5;14,3
Ярославская область;17.0;21,4;3.0;-50,0;20.0;33,3;13,0
Северо-Западный федеральный округ;130.0;1,6;26.0;-27,8;172.0;13,9;13,1
Республика Карелия;9.0;80,0;1.0;стаб.;15.0;200,0;6,3
Республика Коми;7.0;-30,0;2.0;100,0;14.0;16,7;12,5
Архангельская область;17.0;88,9;2.0;-33,3;25.0;127,3;7,4
Вологодская область;16.0;-27,3;3.0;-57,1;23.0;-11,5;11,5
Калининградская область;9.0;-10,0;0.0;-100,0;13.0;18,2;стаб.
Ленинградская область;25.0;8,7;8.0;-33,3;28.0;55,6;22,2
гор. Санкт-Петербург;16.0;-27,3;1.0;100,0;19.0;-44,1;5,0
Мурманская область;8.0;-20,0;2.0;-71,4;6.0;-62,5;25,0
Новгородская область;9.0;-10,0;3.0;стаб.;11.0;22,2;21,4
Псковская область;14.0;100,0;4.0;100,0;18.0;100,0;18,2
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;110.0;5,8;47.0;67,9;130.0;-3,7;26,6
Республика Адыгея (Адыгея);5.0;стаб.;2.0;-33,3;6.0;100,0;25,0
Республика Калмыкия;8.0;33,3;3.0;200,0;8.0;-27,3;27,3
Республика Крым;9.0;-35,7;4.0;100,0;8.0;-69,2;33,3
Краснодарский край;44.0;-10,2;8.0;-38,5;53.0;-3,6;13,1
Астраханская область;6.0;20,0;4.0;100,0;5.0;-37,5;44,4
Волгоградская область;14.0;-17,6;8.0;33,3;12.0;-45,5;40,0
Ростовская область;23.0;283,3;18.0;800,0;37.0;362,5;32,7
гор. Севастополь;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Северо-Кавказский федеральный округ;29.0;стаб.;17.0;183,3;35.0;-20,5;32,7
Республика Дагестан;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Ингушетия;1.0;стаб.;3.0;200,0;0.0;-100,0;стаб.
Кабардино-Балкарская Республика;1.0;-66,7;0.0;-100,0;4.0;стаб.;стаб.
Карачаево-Черкесская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Северная Осетия-Алания;4.0;-20,0;2.0;100,0;3.0;-40,0;40,0
Чеченская Республика;3.0;200,0;3.0;100,0;7.0;600,0;30,0
Ставропольский край;20.0;33,3;9.0;800,0;21.0;-12,5;30,0
Приволжский федеральный округ;281.0;8,5;87.0;22,5;357.0;10,9;19,6
Республика Башкортостан;35.0;-12,5;11.0;10,0;44.0;10,0;20,0
Республика Марий Эл;13.0;62,5;6.0;200,0;15.0;114,3;28,6
Республика Мордовия;11.0;37,5;3.0;200,0;16.0;77,8;15,8
Республика Татарстан (Татарстан);25.0;8,7;5.0;-37,5;24.0;-7,7;17,2
Удмуртская Республика;22.0;4,8;2.0;-50,0;26.0;-10,3;7,1
Чувашская Республика - Чувашия;9.0;-25,0;4.0;33,3;6.0;-64,7;40,0
Пермский край;29.0;11,5;7.0;16,7;47.0;51,6;13,0
Кировская область;22.0;46,7;8.0;33,3;28.0;75,0;22,2
Нижегородская область;32.0;-20,0;9.0;-40,0;45.0;-27,4;16,7
Оренбургская область;10.0;-28,6;5.0;25,0;14.0;-33,3;26,3
Пензенская область;15.0;50,0;2.0;100,0;26.0;73,3;7,1
Самарская область;16.0;-11,1;12.0;200,0;11.0;-45,0;52,2
Саратовская область;29.0;52,6;7.0;75,0;44.0;63,0;13,7
Ульяновская область;13.0;160,0;6.0;50,0;11.0;450,0;35,3
Уральский федеральный округ;92.0;-8,9;29.0;-29,3;119.0;11,2;19,6
Курганская область;12.0;-14,3;8.0;-20,0;15.0;стаб.;34,8
Свердловская область;32.0;10,3;7.0;-36,4;40.0;53,8;14,9
Тюменская область;17.0;-34,6;3.0;-57,1;17.0;-50,0;15,0
Челябинская область;21.0;5,0;8.0;-33,3;27.0;80,0;22,9
Ханты-Мансийский автономный округ - Югра;7.0;-36,4;3.0;200,0;17.0;6,3;15,0
Ямало-Ненецкий автономный округ;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Сибирский федеральный округ;173.0;-8,9;56.0;-9,7;223.0;-11,2;20,1
Республика Алтай;14.0;133,3;2.0;100,0;16.0;77,8;11,1
Республика Тыва;6.0;20,0;5.0;-16,7;9.0;-10,0;35,7
Республика Хакасия;7.0;-12,5;2.0;-71,4;7.0;-46,2;22,2
Алтайский край;24.0;-14,3;7.0;-22,2;29.0;7,4;19,4
Красноярский край;27.0;-44,9;11.0;-31,3;27.0;-52,6;28,9
Иркутская область;28.0;16,7;9.0;80,0;44.0;15,8;17,0
Кемеровская область - Кузбасс;30.0;7,1;9.0;50,0;40.0;8,1;18,4
Новосибирская область;28.0;-3,4;8.0;стаб.;38.0;-19,1;17,4
Омская область;5.0;-44,4;1.0;-66,7;9.0;стаб.;10,0
Томская область;4.0;стаб.;2.0;100,0;4.0;стаб.;33,3
Дальневосточный федеральный округ;166.0;26,7;42.0;-14,3;192.0;10,3;17,9
Республика Бурятия;13.0;-48,0;5.0;-37,5;14.0;-65,0;26,3
Республика Саха (Якутия);8.0;-20,0;3.0;-25,0;6.0;-53,8;33,3
Забайкальский край;34.0;88,9;8.0;-20,0;36.0;63,6;18,2
Приморский край;40.0;90,5;8.0;-11,1;49.0;96,0;14,0
Камчатский край;4.0;-50,0;3.0;50,0;5.0;-16,7;37,5
Хабаровский край;13.0;-23,5;0.0;-100,0;14.0;-46,2;стаб.
Амурская область;35.0;94,4;11.0;120,0;44.0;131,6;20,0
Магаданская область;3.0;-40,0;0.0;-100,0;3.0;-25,0;стаб.
Сахалинская область;13.0;85,7;3.0;-50,0;16.0;стаб.;15,8
Еврейская автономная область;3.0;50,0;1.0;100,0;5.0;66,7;16,7
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
